dataset,n,mean_x,mean_y,sd_x,sd_y,variance_x,variance_y,correlation
away,142,54.266,47.835,16.77,26.94,281.227,725.75,-0.064
bullseye,142,54.269,47.831,16.769,26.936,281.207,725.533,-0.069
circle,142,54.267,47.838,16.76,26.93,280.898,725.227,-0.068
dino,142,54.263,47.832,16.765,26.935,281.07,725.516,-0.064
dots,142,54.26,47.84,16.768,26.93,281.157,725.235,-0.06
h_lines,142,54.261,47.83,16.766,26.94,281.095,725.757,-0.062
high_lines,142,54.269,47.835,16.767,26.94,281.122,725.763,-0.069
slant_down,142,54.268,47.836,16.767,26.936,281.124,725.554,-0.069
slant_up,142,54.266,47.831,16.769,26.939,281.194,725.689,-0.069
star,142,54.267,47.84,16.769,26.93,281.198,725.24,-0.063
v_lines,142,54.27,47.837,16.77,26.938,281.232,725.639,-0.069
wide_lines,142,54.267,47.832,16.77,26.938,281.233,725.651,-0.067
x_shape,142,54.26,47.84,16.77,26.93,281.231,725.225,-0.066
