epidemiological_week,year,cases
1,2023,37
2,2023,20
3,2023,31
4,2023,36
5,2023,37
6,2023,35
7,2023,54
8,2023,42
9,2023,67
10,2023,49
11,2023,67
12,2023,80
13,2023,47
14,2023,61
15,2023,66
16,2023,76
17,2023,70
18,2023,48
19,2023,52
20,2023,91
21,2023,76
22,2023,62
23,2023,78
24,2023,92
25,2023,98
26,2023,74
27,2023,74
28,2023,57
29,2023,77
30,2023,63
31,2023,72
32,2023,71
33,2023,71
34,2023,51
35,2023,59
36,2023,33
37,2023,39
38,2023,34
39,2023,15
40,2023,36
41,2023,35
42,2023,26
43,2023,35
44,2023,18
45,2023,10
46,2023,26
47,2023,13
48,2023,35
49,2023,16
50,2023,27
51,2023,24
52,2023,14
