sample_size,repetition,sample_mean
n = 5,1,23.154585908751205
n = 5,2,23.620608853623818
n = 5,3,57.34567668161592
n = 5,4,17.035425104843764
n = 5,5,27.68750045237717
n = 5,6,25.30077121304747
n = 5,7,17.54677449048751
n = 5,8,34.5316054482339
n = 5,9,18.36568856984302
n = 5,10,20.48584979033263
n = 5,11,51.140117068399945
n = 5,12,15.410712107448598
n = 5,13,32.03834095072034
n = 5,14,28.81355898354876
n = 5,15,58.24478447171571
n = 5,16,38.87510121999194
n = 5,17,12.907661170139175
n = 5,18,18.950461938129415
n = 5,19,12.122182286311812
n = 5,20,38.364116758004755
n = 5,21,10.420545655325986
n = 5,22,17.312645047268898
n = 5,23,22.095241935457157
n = 5,24,37.084502385671755
n = 5,25,19.945929851303593
n = 5,26,19.68303104421813
n = 5,27,39.78699330623534
n = 5,28,38.17095623920818
n = 5,29,31.47635409902076
n = 5,30,28.38015359343139
n = 5,31,47.45688382819115
n = 5,32,19.366044251309088
n = 5,33,64.88724075311245
n = 5,34,55.838821006734676
n = 5,35,7.867404019614163
n = 5,36,32.904082558791664
n = 5,37,29.254886264189356
n = 5,38,35.15140433590229
n = 5,39,31.3589478060213
n = 5,40,15.568581377537896
n = 5,41,14.884055395022221
n = 5,42,23.912514791812796
n = 5,43,12.901356221153495
n = 5,44,20.939329753481914
n = 5,45,35.52669327883059
n = 5,46,19.36857370889479
n = 5,47,17.658271041785007
n = 5,48,27.932516666011676
n = 5,49,29.63108766403105
n = 5,50,27.180346601576247
n = 5,51,54.283839118908055
n = 5,52,21.59905738774582
n = 5,53,38.97350035578466
n = 5,54,29.670986509710872
n = 5,55,19.652121641117446
n = 5,56,33.30230654219364
n = 5,57,9.258611441437115
n = 5,58,18.70498004084293
n = 5,59,33.77827571059706
n = 5,60,17.335529631834387
n = 5,61,36.81926981924255
n = 5,62,23.546255470343244
n = 5,63,14.920690698326156
n = 5,64,35.75862791962107
n = 5,65,9.774778618655995
n = 5,66,33.14175863975641
n = 5,67,68.40531376687608
n = 5,68,28.842364466064282
n = 5,69,36.0038172216374
n = 5,70,46.17819375926882
n = 5,71,22.39396944849493
n = 5,72,17.855770090220616
n = 5,73,16.08241191851474
n = 5,74,33.6541193109136
n = 5,75,16.287386891466276
n = 5,76,17.765168110980834
n = 5,77,29.31219109624071
n = 5,78,21.911790770766732
n = 5,79,40.90167831734802
n = 5,80,19.173540908660375
n = 5,81,28.949369210642757
n = 5,82,30.621578158611108
n = 5,83,27.422098899184117
n = 5,84,27.794404171422915
n = 5,85,20.19000477875298
n = 5,86,27.414803964344575
n = 5,87,8.955776784321017
n = 5,88,23.158031973536662
n = 5,89,10.054670731220288
n = 5,90,22.844197949857847
n = 5,91,32.74813624037156
n = 5,92,34.721365772701695
n = 5,93,23.21596046217836
n = 5,94,28.26042318633572
n = 5,95,17.774915859131667
n = 5,96,21.262380561529707
n = 5,97,9.628450406259715
n = 5,98,18.478400267988107
n = 5,99,22.168207028420717
n = 5,100,19.452693499962812
n = 5,101,28.599584438989137
n = 5,102,27.24436714400822
n = 5,103,17.874772359413644
n = 5,104,18.493923752442107
n = 5,105,26.081543212200362
n = 5,106,53.69495758585047
n = 5,107,41.27370656619473
n = 5,108,23.76181374851088
n = 5,109,55.17574148295075
n = 5,110,31.87144513179757
n = 5,111,6.6115736487025
n = 5,112,11.308204852424613
n = 5,113,24.90674262872495
n = 5,114,25.469184037286045
n = 5,115,26.740645256323532
n = 5,116,29.272360173162184
n = 5,117,38.05545527052465
n = 5,118,21.706305109652895
n = 5,119,17.262543527735055
n = 5,120,23.87439290825352
n = 5,121,41.70953866839375
n = 5,122,32.4543009622295
n = 5,123,20.246045018603816
n = 5,124,28.671033939251334
n = 5,125,37.584588654864454
n = 5,126,18.156407576131485
n = 5,127,45.73302850560778
n = 5,128,21.63339139102039
n = 5,129,52.23635354514277
n = 5,130,22.844280714465647
n = 5,131,11.756992193634455
n = 5,132,36.36642043877242
n = 5,133,46.426532039175406
n = 5,134,14.072379462416176
n = 5,135,32.24112196177745
n = 5,136,28.41834569939332
n = 5,137,33.40878326243346
n = 5,138,24.4856797718344
n = 5,139,14.785247972579823
n = 5,140,38.932221609993846
n = 5,141,16.923660558161487
n = 5,142,18.582711780872163
n = 5,143,13.62065075573594
n = 5,144,18.648613069725236
n = 5,145,26.023809063763846
n = 5,146,17.691348177689783
n = 5,147,18.590778132277435
n = 5,148,38.47513541438523
n = 5,149,30.41589276662951
n = 5,150,22.46025889484377
n = 5,151,14.567347255243739
n = 5,152,20.697510852695224
n = 5,153,14.850069390002057
n = 5,154,23.39341986873021
n = 5,155,22.142946382507557
n = 5,156,18.12609745157984
n = 5,157,37.29838128850495
n = 5,158,23.58665427550255
n = 5,159,40.34334078236861
n = 5,160,33.68661384556773
n = 5,161,7.049006290513445
n = 5,162,9.97344502837533
n = 5,163,38.33700687300744
n = 5,164,30.55947969274052
n = 5,165,30.971121708099027
n = 5,166,21.425016837931533
n = 5,167,15.961434769906411
n = 5,168,25.07593017131495
n = 5,169,23.702053049819273
n = 5,170,13.754807959949494
n = 5,171,22.462417377694575
n = 5,172,42.82793520750691
n = 5,173,14.157756345954782
n = 5,174,15.773452338209854
n = 5,175,48.77217499550437
n = 5,176,37.86067037200721
n = 5,177,13.085561137557972
n = 5,178,11.4247084524087
n = 5,179,16.777579235955482
n = 5,180,36.72722082222287
n = 5,181,32.55462043931828
n = 5,182,33.90994831430177
n = 5,183,14.624305195660135
n = 5,184,23.52714224205125
n = 5,185,23.560075479881476
n = 5,186,40.630921609137395
n = 5,187,18.327269792826637
n = 5,188,35.23477885724253
n = 5,189,10.226332901735644
n = 5,190,16.534509761548986
n = 5,191,22.607589760653568
n = 5,192,17.9050017858573
n = 5,193,24.897561092359734
n = 5,194,23.044028626156262
n = 5,195,17.853516813319075
n = 5,196,32.0816368271274
n = 5,197,49.45264583309594
n = 5,198,36.122107707512995
n = 5,199,42.596270979623654
n = 5,200,25.202737456981243
n = 5,201,9.068353840249438
n = 5,202,34.745256467480594
n = 5,203,18.23318059859747
n = 5,204,39.497418397991964
n = 5,205,15.985401594015666
n = 5,206,28.285045903755375
n = 5,207,19.453983957252348
n = 5,208,19.72486183332836
n = 5,209,35.323202095270204
n = 5,210,33.89741134642871
n = 5,211,41.62588522024336
n = 5,212,44.47250509845506
n = 5,213,8.660265369681124
n = 5,214,50.898298840024815
n = 5,215,31.403262004284404
n = 5,216,17.166398394254614
n = 5,217,12.9851151855202
n = 5,218,26.652564896318957
n = 5,219,35.48873739793469
n = 5,220,17.05545486484737
n = 5,221,36.14917332681343
n = 5,222,26.620256144816395
n = 5,223,37.55147451322856
n = 5,224,22.732920800425422
n = 5,225,4.21861605472368
n = 5,226,18.039741273837553
n = 5,227,18.031278488034516
n = 5,228,17.893633562060558
n = 5,229,30.416407807263827
n = 5,230,22.592101016080058
n = 5,231,50.73390142545194
n = 5,232,46.32881090164743
n = 5,233,15.250994956393246
n = 5,234,13.993911320951948
n = 5,235,19.45541879893629
n = 5,236,45.969127119682454
n = 5,237,20.423514611922513
n = 5,238,16.283676267613977
n = 5,239,18.302169767827714
n = 5,240,14.933577502629078
n = 5,241,18.155164927105563
n = 5,242,12.48399189790588
n = 5,243,18.152135067150304
n = 5,244,33.963820859852795
n = 5,245,35.272351526638104
n = 5,246,7.002362172305873
n = 5,247,29.394919333153677
n = 5,248,21.519986923387744
n = 5,249,36.01116396797467
n = 5,250,16.42917861666588
n = 5,251,9.148935159668326
n = 5,252,25.781747131276365
n = 5,253,24.04112741228166
n = 5,254,34.27652977238657
n = 5,255,52.46182338352655
n = 5,256,16.263816358389878
n = 5,257,8.314459934596213
n = 5,258,20.413048422612558
n = 5,259,18.466732184823506
n = 5,260,51.80030003124187
n = 5,261,23.55336711263098
n = 5,262,27.744628710138816
n = 5,263,30.776129003986423
n = 5,264,20.920555634699564
n = 5,265,32.425700383314854
n = 5,266,13.181431012717585
n = 5,267,13.601415195682225
n = 5,268,18.14484152958304
n = 5,269,29.83614093956869
n = 5,270,23.242544296666054
n = 5,271,33.166441790193936
n = 5,272,23.869664522228366
n = 5,273,27.076186823947854
n = 5,274,19.110849837667494
n = 5,275,19.081199461011465
n = 5,276,22.92878153192135
n = 5,277,33.06878251170553
n = 5,278,19.357109004107365
n = 5,279,23.428650197234315
n = 5,280,37.15753894846376
n = 5,281,22.202596928005107
n = 5,282,22.929372277220192
n = 5,283,19.99386163277966
n = 5,284,15.73158558784987
n = 5,285,32.13156484350968
n = 5,286,40.762855752492015
n = 5,287,22.057365653187947
n = 5,288,9.836801641961042
n = 5,289,13.75521559131626
n = 5,290,32.41844587831499
n = 5,291,11.467022337218625
n = 5,292,40.02587862531018
n = 5,293,28.948451208907382
n = 5,294,36.17513711309373
n = 5,295,11.144619160311215
n = 5,296,19.290813305131124
n = 5,297,38.15481515520944
n = 5,298,14.41019984159971
n = 5,299,34.05113734450641
n = 5,300,36.29435793098393
n = 5,301,20.00275076849301
n = 5,302,22.567895029009215
n = 5,303,19.176046309419036
n = 5,304,8.083559651551326
n = 5,305,15.785621622240367
n = 5,306,30.006996668145224
n = 5,307,20.327606248929712
n = 5,308,15.384491614072559
n = 5,309,37.209275576587345
n = 5,310,35.8924419036536
n = 5,311,6.224186903815908
n = 5,312,51.39409097995313
n = 5,313,45.29869394360099
n = 5,314,26.9435487490767
n = 5,315,31.14473841845297
n = 5,316,38.378435183266596
n = 5,317,20.682385360507006
n = 5,318,29.51490103586318
n = 5,319,36.341617755918286
n = 5,320,21.10539050994361
n = 5,321,37.83783303722995
n = 5,322,8.58021100750057
n = 5,323,35.39307854022654
n = 5,324,15.288974209656422
n = 5,325,70.4973023685136
n = 5,326,69.10640527985413
n = 5,327,32.62791239802249
n = 5,328,21.440806138117676
n = 5,329,25.233437612756276
n = 5,330,33.469488978600275
n = 5,331,38.03772867631902
n = 5,332,30.334726106284705
n = 5,333,12.372705213465114
n = 5,334,5.729204072015281
n = 5,335,18.278952308275116
n = 5,336,17.266775415719337
n = 5,337,13.873800116265578
n = 5,338,22.498385219823668
n = 5,339,24.67508585073603
n = 5,340,26.746761125028435
n = 5,341,16.8174926782277
n = 5,342,38.059759622414575
n = 5,343,24.42362202432328
n = 5,344,36.39254824943914
n = 5,345,9.866215950816336
n = 5,346,26.3696918252869
n = 5,347,31.88709426988633
n = 5,348,20.281707560138507
n = 5,349,30.39819653219791
n = 5,350,18.310451296300563
n = 5,351,15.14755373840749
n = 5,352,18.614570938880274
n = 5,353,19.750517748018748
n = 5,354,12.61716471662334
n = 5,355,31.648598902500964
n = 5,356,36.16041521087224
n = 5,357,24.412004334317455
n = 5,358,7.647459066253003
n = 5,359,13.977045007795569
n = 5,360,22.880419533105123
n = 5,361,23.1288537132341
n = 5,362,16.900112751953245
n = 5,363,38.376699534048974
n = 5,364,8.465786965554802
n = 5,365,13.924349308154142
n = 5,366,50.386097363959884
n = 5,367,43.76158081208261
n = 5,368,17.119569082084833
n = 5,369,22.070385962183824
n = 5,370,22.887746204913753
n = 5,371,12.248433134478836
n = 5,372,70.6059530916343
n = 5,373,40.176769319978185
n = 5,374,18.98960677306409
n = 5,375,19.727316466631237
n = 5,376,42.76643585422738
n = 5,377,23.597316751506263
n = 5,378,21.477694813602124
n = 5,379,50.33372473960731
n = 5,380,32.86594373553721
n = 5,381,19.70306764765803
n = 5,382,25.962442398834227
n = 5,383,12.733862831960462
n = 5,384,50.13843932636752
n = 5,385,16.691688968666526
n = 5,386,19.442133243389552
n = 5,387,42.5351143639796
n = 5,388,7.514825088244969
n = 5,389,8.994844976878763
n = 5,390,15.556403445794773
n = 5,391,21.359069297872452
n = 5,392,9.115231767661609
n = 5,393,19.545375666129047
n = 5,394,43.32557580955898
n = 5,395,49.27175562150532
n = 5,396,44.21907612076782
n = 5,397,27.157663795232274
n = 5,398,11.031121830483775
n = 5,399,37.55733698072287
n = 5,400,14.033448917843648
n = 5,401,19.34600783932752
n = 5,402,16.26699178681117
n = 5,403,37.31721230043963
n = 5,404,29.934729768456783
n = 5,405,34.323113624608986
n = 5,406,56.05516331976722
n = 5,407,11.506083506063897
n = 5,408,36.22252035267699
n = 5,409,32.08874235670837
n = 5,410,7.927702160604565
n = 5,411,24.208604358660107
n = 5,412,20.30818818730512
n = 5,413,10.320417111949865
n = 5,414,13.964772126420451
n = 5,415,22.939370711774774
n = 5,416,14.57068732411409
n = 5,417,43.52351751638449
n = 5,418,17.487598610351768
n = 5,419,32.929793309308295
n = 5,420,45.79690819414883
n = 5,421,12.331403200317018
n = 5,422,23.01711815322236
n = 5,423,20.427301010546994
n = 5,424,21.05112892465181
