repetition,sample_mean,lower,upper,contains_true_mean,status
1,25.65686180099013,24.87287620717411,26.44084739480615,TRUE,Contains true mean
2,26.56670663326869,25.78272103945267,27.35069222708471,TRUE,Contains true mean
3,26.077568707835038,25.293583114019018,26.861554301651058,TRUE,Contains true mean
4,26.461476307355554,25.677490713539534,27.245461901171574,TRUE,Contains true mean
5,26.395687089909018,25.611701496092998,27.179672683725038,TRUE,Contains true mean
6,26.22221572235388,25.43823012853786,27.0062013161699,TRUE,Contains true mean
7,26.503705019599778,25.719719425783758,27.287690613415798,TRUE,Contains true mean
8,26.060378348006626,25.276392754190606,26.844363941822646,TRUE,Contains true mean
9,26.11212770969386,25.32814211587784,26.89611330350988,TRUE,Contains true mean
10,26.25958832293632,25.4756027291203,27.04357391675234,TRUE,Contains true mean
11,25.998257340961544,25.214271747145524,26.782242934777564,TRUE,Contains true mean
12,26.64664654906736,25.86266095525134,27.43063214288338,TRUE,Contains true mean
13,25.809665464798492,25.025679870982472,26.593651058614512,TRUE,Contains true mean
14,25.585391284802864,24.801405690986844,26.369376878618883,TRUE,Contains true mean
15,26.096008722002363,25.312023128186343,26.879994315818383,TRUE,Contains true mean
16,25.95826865971694,25.17428306590092,26.74225425353296,TRUE,Contains true mean
17,25.529724527450938,24.745738933634918,26.313710121266958,TRUE,Contains true mean
18,25.93043549319858,25.14644989938256,26.7144210870146,TRUE,Contains true mean
19,25.48787771582948,24.70389212201346,26.2718633096455,TRUE,Contains true mean
20,26.231414921243164,25.447429327427145,27.015400515059184,TRUE,Contains true mean
21,25.818875910385174,25.034890316569154,26.602861504201194,TRUE,Contains true mean
22,26.251097965400845,25.467112371584825,27.035083559216865,TRUE,Contains true mean
23,25.791530011302278,25.007544417486258,26.575515605118298,TRUE,Contains true mean
24,26.072996256681652,25.289010662865632,26.85698185049767,TRUE,Contains true mean
25,25.441362209697274,24.657376615881255,26.225347803513294,TRUE,Contains true mean
26,26.633459314949167,25.849473721133148,27.417444908765187,TRUE,Contains true mean
27,26.095907977510272,25.311922383694252,26.879893571326292,TRUE,Contains true mean
28,26.135975381828985,25.351989788012965,26.919960975645004,TRUE,Contains true mean
29,25.942539968601082,25.158554374785062,26.726525562417102,TRUE,Contains true mean
30,25.88875151642178,25.10476592260576,26.6727371102378,TRUE,Contains true mean
31,25.945579716479305,25.161594122663285,26.729565310295325,TRUE,Contains true mean
32,26.007077196873833,25.223091603057814,26.791062790689853,TRUE,Contains true mean
33,25.78323679459418,24.99925120077816,26.5672223884102,TRUE,Contains true mean
34,25.99300950789564,25.20902391407962,26.77699510171166,TRUE,Contains true mean
35,25.853837161310768,25.069851567494748,26.637822755126788,TRUE,Contains true mean
36,26.34803146892003,25.56404587510401,27.13201706273605,TRUE,Contains true mean
37,25.376271604739777,24.592286010923758,26.160257198555797,TRUE,Contains true mean
38,25.786862199038264,25.002876605222244,26.570847792854284,TRUE,Contains true mean
39,25.430627233947938,24.646641640131918,26.214612827763958,TRUE,Contains true mean
40,26.582981127289997,25.798995533473978,27.366966721106017,TRUE,Contains true mean
41,26.653657149580503,25.869671555764484,27.437642743396523,TRUE,Contains true mean
