week,observed,trend,seasonal,random
1,77,NA,-35.684633875739614,NA
2,51,NA,-33.63174926035501,NA
3,69,NA,-38.48751849112425,NA
4,78,NA,-30.376941568047336,NA
5,79,NA,-20.372133875739635,NA
6,77,NA,-19.61732618343195,NA
7,107,NA,-38.70867233727808,NA
8,89,NA,-7.554826183431937,NA
9,127,NA,-10.415403106508863,NA
10,102,NA,-0.7663646449703962,NA
11,129,NA,-0.23751849112425005,NA
12,150,NA,20.916327662721898,NA
13,101,NA,9.48363535502959,NA
14,123,NA,54.54613535502958,NA
15,131,NA,22.29132766272187,NA
16,147,NA,42.93075073964496,NA
17,138,NA,34.118250739644964,NA
18,107,NA,36.887481508875716,NA
19,113,NA,38.41632766272189,NA
20,173,NA,39.579789201183424,NA
21,150,NA,54.33459689349111,NA
22,130,NA,40.69036612426034,NA
23,154,NA,42.48844304733727,NA
24,175,NA,40.14228920118342,NA
25,184,NA,46.4692122781065,NA
26,148,NA,52.76248150887573,NA
27,149,107.48076923076924,36.1567122781065,5.362518491124263
28,123,107.98076923076925,19.959596893491103,-4.9403661242603505
29,153,108.41346153846155,52.17113535502956,-7.58459689349111
30,133,108.61538461538464,30.988443047337256,-6.603827662721898
31,145,108.90384615384619,33.26248150887571,2.8336723372781023
32,143,109.2788461538462,27.95959689349109,5.761556952662701
33,143,108.9615384615385,16.75286612426033,17.285595414201183
34,113,108.66346153846156,12.550943047337254,-8.214404585798817
35,124,108.67307692307693,8.916327662721875,6.410595414201197
36,85,108.66346153846155,-13.175018491124272,-10.48844304733727
37,93,108.89423076923077,-3.732710798816578,-12.16151997041419
38,87,108.96153846153845,-10.626941568047345,-11.33459689349111
39,58,109.22115384615384,-23.795210798816576,-27.425943047337256
40,89,109.84615384615383,-25.37213387573965,4.525980029585824
41,87,110.45192307692305,-20.80001849112425,-2.6519045857988033
42,74,110.88461538461536,-23.977903106508855,-12.906712278106511
43,87,111.42307692307689,-38.655787721893475,14.232710798816584
44,61,112.38461538461536,-51.4538646449704,0.06924926035503631
45,49,113.37499999999997,-61.525980029585774,-2.84901997041419
46,74,113.67307692307688,-52.843287721893454,13.170210798816584
47,53,113.90384615384612,-52.99713387573962,-7.906712278106497
48,86,114.46153846153844,-32.91540310650885,4.453864644970409
49,58,114.82692307692304,-43.280787721893454,-13.546135355029577
50,75,114.98076923076921,-35.31924926035501,-4.661519970414204
51,72,115.02884615384615,-51.66540310650885,8.636556952662701
52,57,115.29807692307689,-36.78559541420114,-21.51248150887575
53,95,115.63461538461536,-35.684633875739614,15.050018491124263
54,85,115.94230769230766,-33.63174926035501,2.689441568047343
55,80,116.4903846153846,-38.48751849112425,1.9971338757396495
56,88,117.06730769230768,-30.376941568047336,1.3096338757396495
57,99,117.4423076923077,-20.372133875739635,1.929826183431942
58,96,117.57692307692307,-19.61732618343195,-1.959596893491124
59,55,117.44230769230768,-38.70867233727808,-23.733635355029605
60,110,117.59615384615384,-7.554826183431937,-0.041327662721897696
61,107,117.97115384615383,-10.415403106508863,-0.5557507396449637
62,121,118.39423076923076,-0.7663646449703962,3.3721338757396353
63,134,119.17307692307692,-0.23751849112425005,15.064441568047343
64,152,119.96153846153847,20.916327662721898,11.122133875739635
65,126,121.03846153846153,9.48363535502959,-4.522096893491124
66,163,121.8076923076923,54.54613535502958,-13.353827662721883
67,154,122.09615384615385,22.29132766272187,9.612518491124277
68,169,122.71153846153848,42.93075073964496,3.357710798816555
69,172,122.99038461538463,34.118250739644964,14.891364644970409
70,173,123.00000000000003,36.887481508875716,13.112518491124263
71,150,123.31730769230771,38.41632766272189,-11.733635355029605
72,167,123.37500000000003,39.579789201183424,4.045210798816555
73,180,123.52884615384617,54.33459689349111,2.1365569526627155
74,158,123.84615384615387,40.69036612426034,-6.5365199704142185
75,164,124.26923076923079,42.48844304733727,-2.757673816568058
76,181,124.86538461538463,40.14228920118342,15.992326183431956
77,183,125.02884615384617,46.4692122781065,11.501941568047314
78,177,125.50961538461542,52.76248150887573,-1.2720968934911525
79,155,125.86538461538464,36.1567122781065,-7.022096893491138
80,149,125.75961538461542,19.959596893491103,3.280787721893489
81,184,125.9038461538462,52.17113535502956,5.9250184911242485
82,162,126.06730769230772,30.988443047337256,4.944249260355022
83,155,126.23076923076927,33.26248150887571,-4.493250739644978
84,147,126.4615384615385,27.95959689349109,-7.421135355029591
85,125,127.19230769230772,16.75286612426033,-18.945173816568044
86,147,127.8942307692308,12.550943047337254,6.554826183431942
87,129,128.1538461538462,8.916327662721875,-8.070173816568058
88,124,128.34615384615387,-13.175018491124272,8.828864644970395
89,135,128.23076923076925,-3.732710798816578,10.501941568047329
90,127,127.95192307692311,-10.626941568047345,9.6750184911242485
91,130,128.0288461538462,-23.795210798816576,25.766364644970395
92,97,128.55769230769235,-25.37213387573965,-6.1855584319527
93,109,128.80769230769232,-20.80001849112425,0.9923261834319419
94,116,128.73076923076923,-23.977903106508855,11.247133875739621
95,74,128.54807692307693,-38.655787721893475,-15.892289201183459
96,75,128.18269230769232,-51.4538646449704,-1.7288276627219261
97,68,128.33653846153845,-61.525980029585774,1.1894415680473287
98,61,128.6730769230769,-52.843287721893454,-14.829789201183445
99,82,128.75,-52.99713387573962,6.247133875739621
100,90,129.02884615384613,-32.91540310650885,-6.1134430473372845
101,98,129.39423076923075,-43.280787721893454,11.886556952662716
102,97,129.31730769230768,-35.31924926035501,3.0019415680473287
103,67,128.96153846153842,-51.66540310650885,-10.296135355029577
104,112,128.93269230769226,-36.78559541420114,19.852903106508876
105,77,129.39423076923075,-35.684633875739614,-16.709596893491124
106,92,129.98076923076923,-33.63174926035501,-4.3490199704142185
107,88,130.14423076923077,-38.48751849112425,-3.656712278106525
108,97,130.34615384615387,-30.376941568047336,-2.9692122781065393
109,107,130.96153846153845,-20.372133875739635,-3.5894045857988175
110,112,131.3173076923077,-19.61732618343195,0.3000184911242343
111,115,131.63461538461536,-38.70867233727808,22.074056952662716
112,123,132.1730769230769,-7.554826183431937,-1.6182507396449637
113,121,132.51923076923077,-10.415403106508863,-1.1038276627218977
114,127,132.7980769230769,-0.7663646449703962,-5.031712278106511
115,116,132.96153846153845,-0.23751849112425005,-16.724019970414204
116,141,132.8653846153846,20.916327662721898,-12.781712278106511
