semana,ano,semana_ano,tendencia,sazonalidade,ruido,casos
1,2021,1,100.3,-44.272801282660495,20.564376707200026,77
2,2021,2,100.6,-41.14919329468282,-8.47047257094133,51
3,2021,3,100.9,-37.42553740855505,5.446926170060088,69
4,2021,4,101.2,-33.15613291203976,9.492939074415606,78
5,2021,5,101.5,-28.40323733655779,6.064024847114985,79
6,2021,6,101.8,-23.236158602188425,-1.5918677413722604,77
7,2021,7,102.1,-17.730244352126782,22.672829961584082,107
8,2021,8,102.4,-11.965783214377886,-1.4198855761964633,89
9,2021,9,102.7,-6.026834012766153,30.276355708155627,127
10,2021,10,103,0,-0.9407114857863149,102
11,2021,11,103.3,6.026834012766153,19.57304481335228,129
12,2021,12,103.6,11.965783214377886,34.299680890516605,150
13,2021,13,103.9,17.730244352126782,-20.83291051668509,101
14,2021,14,104.2,23.236158602188425,-4.181831502260571,123
15,2021,15,104.5,28.40323733655779,-1.9998200459048705,131
16,2021,16,104.8,33.15613291203976,9.539255971051116,147
17,2021,17,105.1,37.42553740855505,-4.2637938212410855,138
18,2021,18,105.4,41.14919329468282,-39.846831313571634,107
19,2021,19,105.7,44.272801282660495,-36.60700392863279,113
20,2021,20,106,46.75081213427074,19.801700185952882,173
21,2021,21,106.3,48.5470908713026,-4.599578911177118,150
22,2021,22,106.6,49.6354437049027,-26.7196265097,130
23,2021,23,106.9,50,-2.5787603363943203,154
24,2021,24,107.2,49.6354437049027,18.220120487588982,175
25,2021,25,107.5,48.54709087130261,28.427901918974477,184
26,2021,26,107.8,46.75081213427074,-6.457036974092995,148
27,2021,27,108.1,44.272801282660495,-3.8590407415339447,149
28,2021,28,108.4,41.149193294682824,-26.447446277921703,123
29,2021,29,108.7,37.425537408555066,6.901460322469071,153
30,2021,30,109,33.15613291203976,-9.599923139401788,133
31,2021,31,109.3,28.40323733655779,6.831751848618291,145
32,2021,32,109.6,23.236158602188453,10.572560058432288,143
33,2021,33,109.9,17.730244352126793,15.526552829548834,143
34,2021,34,110.2,11.965783214377884,-9.133895631108166,113
35,2021,35,110.5,6.0268340127661535,7.574326849469555,124
36,2021,36,110.8,-1.6081226496766367e-14,-25.75513018610014,85
37,2021,37,111.1,-6.026834012766141,-11.76688512569244,93
38,2021,38,111.4,-11.965783214377872,-12.763613912647774,87
39,2021,39,111.7,-17.730244352126782,-36.21311474919948,58
40,2021,40,112,-23.236158602188404,0.5418391033838345,89
41,2021,41,112.3,-28.40323733655778,3.0899790030038075,87
42,2021,42,112.6,-33.15613291203975,-5.4158594782299945,74
43,2021,43,112.9,-37.42553740855505,11.372448535492754,87
44,2021,44,113.2,-41.14919329468282,-10.900572406148628,61
45,2021,45,113.5,-44.27280128266048,-20.524215666289418,49
46,2021,46,113.8,-46.75081213427074,6.492270388330757,74
47,2021,47,114.1,-48.5470908713026,-12.170897642800075,53
48,2021,48,114.4,-49.6354437049027,21.66151892581879,86
49,2021,49,114.7,-50,-6.471693039200181,58
50,2021,50,115,-49.6354437049027,9.834718251033102,75
51,2021,51,115.3,-48.54709087130261,4.8288789780591985,72
52,2021,52,115.6,-46.75081213427074,-11.757584113205631,57
53,2022,1,115.9,-44.272801282660495,23.63591279687966,95
54,2022,2,116.2,-41.14919329468282,9.643489585759745,85
55,2022,3,116.5,-37.42553740855505,1.346409698994085,80
56,2022,4,116.8,-33.15613291203976,4.148261209371945,88
57,2022,5,117.1,-28.40323733655779,10.189332240829062,99
58,2022,6,117.4,-23.236158602188425,1.3474932986862256,96
59,2022,7,117.7,-17.730244352126782,-44.89635124729402,55
60,2022,8,118,-11.965783214377886,4.273244302959891,110
61,2022,9,118.3,-6.026834012766153,-5.50851964111463,107
62,2022,10,118.6,0,2.77845847298414,121
63,2022,11,118.9,6.026834012766153,8.7273559104826,134
64,2022,12,119.2,11.965783214377886,20.996052409390174,152
65,2022,13,119.5,17.730244352126782,-10.909380892116976,126
66,2022,14,119.8,23.236158602188425,19.538139480662156,163
67,2022,15,120.1,28.40323733655779,5.037721796281117,154
68,2022,16,120.4,33.15613291203976,15.577591480464317,169
69,2022,17,120.7,37.42553740855505,13.810928524359694,172
70,2022,18,121,41.14919329468282,10.813172443002937,173
71,2022,19,121.3,44.272801282660495,-15.646784078517825,150
72,2022,20,121.6,46.75081213427074,-1.3527957991606003,167
73,2022,21,121.9,48.5470908713026,9.352772429993154,180
74,2022,22,122.2,49.6354437049027,-14.30285036658516,158
75,2022,23,122.5,50,-8.14243221860785,164
76,2022,24,122.8,49.6354437049027,8.714947465225237,181
77,2022,25,123.1,48.54709087130261,11.522681067518866,183
78,2022,26,123.4,46.75081213427074,6.956513828102508,177
79,2022,27,123.7,44.272801282660495,-13.286644461145192,155
80,2022,28,124,41.149193294682824,-16.496713479717833,149
81,2022,29,124.3,37.425537408555066,22.690605147073924,184
82,2022,30,124.6,33.15613291203976,3.8688215629804628,162
83,2022,31,124.9,28.40323733655779,1.3266034373937954,155
