replicate,mean,lower,upper,covers
1,122.32241381898547,115.29100212362191,129.35382551434904,TRUE
2,119.74060544365386,112.50055331413469,126.98065757317303,TRUE
3,126.28623021206022,120.90740532582059,131.66505509829983,FALSE
4,116.45236575479638,110.41488131220937,122.48985019738338,TRUE
5,118.84243660708522,111.88587290927062,125.79900030489982,TRUE
6,116.8940665914997,111.19954697581987,122.58858620717952,TRUE
7,121.30623824935891,114.71770254116755,127.89477395755027,TRUE
8,119.77365841051466,113.40659375285674,126.14072306817258,TRUE
9,123.28844027082654,118.17680366946193,128.40007687219114,TRUE
10,113.95552628504755,106.10266009651052,121.80839247358459,TRUE
11,121.62629066241959,115.44864744000374,127.80393388483544,TRUE
12,118.34573373341632,110.74924060687886,125.94222685995379,TRUE
13,125.78434946080434,119.6243335949721,131.94436532663656,TRUE
14,123.15961366210666,117.95227026539922,128.3669570588141,TRUE
15,118.44810200993696,113.47113390441748,123.42507011545644,TRUE
16,119.28774251185305,114.15494235235157,124.42054267135454,TRUE
17,119.564063488012,114.00429342597717,125.12383355004683,TRUE
18,121.92240092504117,116.36072790867378,127.48407394140857,TRUE
19,125.97766116147113,119.82054071580555,132.13478160713672,TRUE
20,120.51341537433123,114.38178378531181,126.64504696335065,TRUE
21,121.5264950272018,115.18732388832255,127.86566616608106,TRUE
22,116.05831950524939,110.9007210024142,121.21591800808457,TRUE
23,116.46274062316313,109.81402037626442,123.11146087006183,TRUE
24,115.46568730366748,110.44515560058402,120.48621900675094,TRUE
25,117.61992858585329,112.19336901519092,123.04648815651565,TRUE
26,118.76643704204781,113.08960901672468,124.44326506737094,TRUE
27,116.75889703917753,112.37361612383114,121.14417795452391,TRUE
28,120.02320894448711,113.8935228733077,126.15289501566652,TRUE
29,120.18826149027419,113.73360994793384,126.64291303261453,TRUE
30,120.77093949006309,114.92296219200979,126.61891678811638,TRUE
31,119.48964290890568,113.7446593931765,125.23462642463485,TRUE
32,118.58593328866559,113.86220163778844,123.30966493954273,TRUE
33,118.4339640563538,112.48046566163073,124.38746245107687,TRUE
34,120.56005938289114,113.73989118605115,127.38022757973113,TRUE
35,120.67179072322065,114.11101378468892,127.23256766175238,TRUE
36,116.78821471853824,110.91689802211435,122.65953141496213,TRUE
37,118.87155600346814,112.50802039022597,125.23509161671032,TRUE
38,125.98101360649994,120.7493333266086,131.2126938863913,FALSE
39,122.36050805024048,116.18338548638638,128.53763061409458,TRUE
40,119.71939998538748,114.30420416661238,125.13459580416259,TRUE
41,118.5800342890225,111.93115630102575,125.22891227701926,TRUE
42,119.55722937093836,114.14465747739754,124.96980126447917,TRUE
43,115.18243952358189,109.70164132738273,120.66323771978105,TRUE
44,121.680437830924,116.3065013034212,127.05437435842681,TRUE
45,126.17425449348269,120.01311287518438,132.335396111781,FALSE
46,119.30495879508345,112.93603433702987,125.67388325313703,TRUE
47,115.82263927459265,109.38103436432719,122.2642441848581,TRUE
48,120.73198950243263,114.31766922714337,127.14630977772188,TRUE
49,119.5522497198233,113.1368903590209,125.96760908062569,TRUE
50,117.73734559832317,112.70303794284058,122.77165325380577,TRUE
51,118.84207840628478,112.52008370628019,125.16407310628938,TRUE
52,118.79191997208389,113.71703260764833,123.86680733651944,TRUE
53,121.09160157147768,115.5560528602142,126.62715028274117,TRUE
54,118.42113920352644,112.30243219140333,124.53984621564955,TRUE
55,120.62985156459226,114.48742218751248,126.77228094167204,TRUE
56,116.0498014093348,109.8432926184606,122.25631020020901,TRUE
57,123.25231302220912,116.85646744100767,129.64815860341056,TRUE
58,119.79970093096489,113.50942802509962,126.08997383683015,TRUE
59,119.4182911479757,113.07218840966036,125.76439388629103,TRUE
60,120.46915902272062,113.75015564431442,127.18816240112682,TRUE
